Culture Does Matter,,,
Romney,,,
Mitt,,,
12,,,
p,,,
"During my recent trip to Israel, I had suggested that the choices a society makes about its culture play a role in creating prosperity, and that the significant disparity between Israeli and Palestinian living standards was powerfully influenced by it.",6,5432.602,7195.602
"In some quarters, that comment became the subject of controversy.",2,2358.216,4121.216
p,,,
But what exactly accounts for prosperity if not culture?,2,25578.566,27341.566
"In the case of the United States, it is a particular kind of culture that has made us the greatest economic power in the history of the earth.",2,47787.43,49550.43
"Many significant features come to mind: our work ethic, our appreciation for education, our willingness to take risks, our commitment to honor and oath, our family orientation, our devotion to a purpose greater than ourselves, our patriotism.",2,8277.625,10040.625
But one feature of our culture that propels the American economy stands out above all others: freedom.,3,2661.043,4424.043
The American economy is fueled by freedom.,3,5434.692,7197.692
Free people and their free enterprises are what drive our economic vitality.,2,7398.411,9161.411
p,,,
The Founding Fathers wrote that we are endowed by our Creator with the freedom to pursue happiness.,2,10478.15,12241.15
"In the America they designed, we would have economic freedom, just as we would have political and religious freedom.",1,11384.5,13147.5
"Here, we would not be limited by the circumstance of birth nor directed by the supposedly informed hand of government.",0,2381.633,4144.633
We would be free to pursue happiness as we wish.,0,5667.354,7430.354
Economic freedom is the only force that has consistently succeeded in lifting people out of poverty.,3,3703.842,5466.842
It is the only principle that has ever created sustained prosperity.,2,8809.736,10572.736
It is why our economy rose to rival those of the world_s leading powers ’ and has long since surpassed them all.,0,2170.482,3933.482
p,,,
The linkage between freedom and economic development has a universal applicability.,6,17846.956,19609.956
"One only has to look at the contrast between East and West Germany, and between North and South Korea for the starkest demonstrations of the meaning of freedom and the absence of freedom.",1,2179.839,3942.839
p,,,
Israel is also a telling example.,1,7019.288,8782.288
"Like the United States, the state of Israel has a culture that is based upon individual freedom and the rule of law.",2,3606.862,5369.862
"It is a democracy that has embraced liberty, both political and economic.",0,3320.485,5083.485
This embrace has created conditions that have enabled innovators and entrepreneurs to make the desert bloom.,0,4432.293,6195.293
"In the face of improbable odds, Israel today is a world leader in fields ranging from medicine to information technology.",0,2971.737,4734.737
p,,,
"As the case of Israel makes plain, building a free society is not a simple task.",2,1663.536,3426.536
"Rather, it is struggle demanding constant courage and sacrifice.",3,6223.855,7986.855
"Even here in the United States, which from our inception as a nation has been blessed with freedom, we faced monumental challenges in harmonizing our ideals with our institutions.",1,4017.841,5780.841
We fought a bloody civil war against slavery and it took a nonviolent civil-rights movement to bring political and social equality to all Americans.,0,782.695,2545.695
In these epic struggles we changed our _culture_ and vastly improved it.,2,0.901,1763.901
p,,,
I have just returned from a trip abroad.,0,1464.438,3227.438
"I visited three lands ’ Israel, Poland, and Great Britain ’ which are defined by their respective struggles for freedom.",0,1421.114,3184.114
I met with some of the greatest heroes of those struggles.,0,140.843,1903.843
I am always glad to return to American soil.,0,756.961,2519.961
"On this occasion, I am only strengthened in my conviction that the pursuit of happiness is not an American right alone.",2,492.82,2255.82
"Israelis, Palestinians, Poles, Russians, Iranians, Americans, all human beings deserve to enjoy the blessings of a culture of freedom and opportunity.",3,794.054,2557.054
