Forged Transcripts and Fake Essays: How Unscrupulous Agents Get Chinese Students into U.S. Schools,,,
Bergman,,,
Justin,,,
12,,,
p,,,
"This fall, David Zhu will join an exodus of Chinese students boarding planes for the leafy, beer-soaked campuses of American colleges and universities.",1,33045.124,34803.124
" Zhu, currently a student at Shanghai÷s prestigious Fudan University, will be enrolling at Oregon State University to pursue a bachelor÷s degree in business _ a dream his parents have had since they started saving a $157,000 nest egg for his education.",0,9058.683,10816.683
"But like many Chinese students who don÷t speak English fluently, Zhu might not have been accepted without a little help.",2,11205.045,12963.045
The 21-year-old hired an education agent in China to clean up and §elaborateå on the essay he submitted as part of his application.,3,3488.281,5246.281
"§Actually, the agency helped my application to some extent,å he says.",0,7284.606,9042.606
p,,,
Stories like Zhu÷s are becoming increasingly common as the ranks of Chinese students going abroad for college continue to swell.,0,40732.694,42490.694
"Because many Chinese students have only basic knowledge of foreign universities and have trouble making sense of complicated applications, a huge industry of education agents has arisen in the country to help guide them _ and, in some cases, to do whatever it takes to get them accepted.",4,4467.709,6225.709
This has created a thorny ethical dilemma in the U.S.,0,30482.375,32240.375
"While many American schools are elated by the influx of Chinese students as they÷ve scrimped and saved to make ends meet in the economic downturn, some educators worry that the reliance of Chinese students on agents has led to some unintended _ and troubling _ consequences.",3,11340.925,13098.925
p,,,
"Although Chinese students have been going to America to study for decades, their numbers have spiked dramatically in the past few years.",3,17971.324,19729.324
"In the 2010_11 school year, more than 157,000 Chinese students were enrolled at institutions of higher learning in the U.S. _ a 22% increase over the previous year and tops among all countries.",1,2484.118,4242.118
"(Second-place India had just 104,000.)",0,7466.092,9224.092
"The largest increase has been among undergrads: China sent nearly 57,000 to the U.S. in 2010_11, up from 10,000 five years earlier.",1,2627.043,4385.043
"For the wealthy, an overseas education is becoming almost standard.",1,6746.914,8504.914
A survey conducted by China÷s Hurun Report found that 85% of rich Chinese parents planned to send their kids abroad to study.,2,3155.786,4913.786
"The U.S. is their preferred destination, followed by the U.K. and Canada.",0,5245.542,7003.542
p,,,
"While there are a host of reasons for this explosion, money and prestige appear to be the most important factors.",2,10811.822,12569.822
"Not only can more Chinese families now afford to pay the tuition at a foreign university, they also view it as a better investment in their children÷s future.",2,7982.569,9740.569
"Universities in the West are revered in China, and homegrown schools _ even the best ones _ fail to measure up.",1,15467.098,17225.098
